Language,Graph Name,Size FVS,Number of Edges,Number of Nodes,Avg Elapsed Time,Std Elapsed Time
Python,random_graph0.graph,3391,152547,3808,17.996547062666668,0.9728370653137454
C++,random_graph0.graph,,152547,3808,0.0010852333333333335,0.00027186209414578806
Python,random_graph1.graph,5047,374789,5423,59.648578363333336,0.35484150093790146
C++,random_graph1.graph,,374789,5423,0.0030620100000000004,5.8799041658857113e-05
Python,random_graph2.graph,3258,443501,3391,38.667462789666665,0.8790155238844247
C++,random_graph2.graph,,443501,3391,0.0033053366666666666,7.820913906528652e-05
Python,random_graph3.graph,1989,103518,2200,6.875181481333333,0.05334306156450265
C++,random_graph3.graph,,103518,2200,0.00051247,3.668315448540382e-05
